K1Y7 PHX
K40J MIA
K7VM WBC
KAAF BHM
KABE PHL
KABI LBB
KABQ ABQ
KABR FSD
KABX ABQ
KACT FTW
KACY PHL
KADG ARB
KAEX NEW
KAGS CAE
KAHN ATL
KAIA OMA
KAKQ WBC
KALB ALB
KALO DSM
KALR ATL
KALS DEN
KALW SEA
KALY ALB
KAMA LBB
KAMX MIA
KAPA DEN
KAPC SFO
KAPN ARB
KAPX ARB
KARB ARB
KARX MKE
KASE DEN
KAST PDX
KATL ATL
KATR ATL
KATX SEA
KAUO BHM
KAUS SAT
KAVL CAE
KAVP ALB
KAYS ATL
KBBX SFO
KBCT MIA
KBDL BOS
KBDR NYC
KBFF OMA
KBFI SEA
KBFL SFO
KBGM ALB
KBHM BHM
KBHX SFO
KBIH LAX
KBIL GTF
KBIS BIS
KBIX JAN
KBJC DEN
KBKW CRW
KBLU SFO
KBLX GTF
KBMX BHM
KBNA MEM
KBNO PDX
KBOI BOI
KBOS BOS
KBOU DEN
KBOX BOS
KBPT SAT
KBRO SAT
KBTM GTF
KBTR NEW
KBTV ALB
KBUF BUF
KBVY BOS
KBWI WBC
KBYX MIA
KBYZ GTF
KBZN GTF
KCAE CAE
KCAK CLE
KCAO ABQ
KCAR PWM
KCBW PWM
KCBX BOI
KCCX PHL
KCEC SFO
KCHA MEM
KCHH BOS
KCHI CHI
KCHM CLE
KCHS CAE
KCIC SFO
KCIR CHI
KCKL BHM
KCLE CLE
KCLL FTW
KCLT CAE
KCLX CAE
KCMH CLE
KCNK TOP
KCNU TOP
KCON PWM
KCOS DEN
KCOU STL
KCPR CYS
KCRH STL
KCRP SAT
KCRW CRW
KCSG ATL
KCTP PHL
KCVG CLE
KCXX ALB
KCYS CYS
KDAB MIA
KDAX SFO
KDAY CLE
KDBQ DSM
KDCA WBC
KDDC TOP
KDEN DEN
KDFW FTW
KDIX PHL
KDLH MSP
KDMO DMO
KDMX DSM
KDNR DEN
KDRA RNO
KDRT SAT
KDSM DSM
KDTW ARB
KDTX ARB
KDVN CHI
KEAT SEA
KEAX STL
KEEW MKE
KEGE DEN
KEHU SRH
KEKA SFO
KEKN CRW
KEKO RNO
KELP LBB
KELY RNO
KEMP TOP
KEMX PHX
KENX ALB
KEPZ LBB
KERI CLE
KERO RNO
KESF NEW
KESX RNO
KEUG PDX
KEVV IND
KEWR NYC
KEWX SAT
KEYW MIA
KEYX LAX
KFAR BIS
KFAT SFO
KFCA GTF
KFCH SFO
KFCX WBC
KFFC ATL
KFGF BIS
KFGZ PHX
KFLG PHX
KFLL MIA
KFLO RDU
KFMY MIA
KFNT ARB
KFSD FSD
KFSM LIT
KFSX PHX
KFTG DEN
KFTW FTW
KFWA IND
KFWD FTW
KFWR FTW
KFWS FTW
KGBG CHI
KGCK TOP
KGCN PHX
KGEG SEA
KGFF STL
KGGG FTW
KGGW GTF
KGID OMA
KGJT DEN
KGJX DEN
KGLD TOP
KGLH JAN
KGLS SAT
KGPI GTF
KGRB MKE
KGRI OMA
KGRK FTW
KGRR ARB
KGSO RDU
KGSP CAE
KGTF GTF
KGVW STL
KGWC WBC
KGWX JAN
KGYX PWM
KHAR PHL
KHAT RDU
KHCO WSH
KHDO SAT
KHGX SAT
KHLN GTF
KHMS SEA
KHNX SFO
KHON FSD
KHOU SAT
KHSI OMA
KHSV HUN
KHTL ARB
KHTS CRW
KHTX HUN
KHUF IND
KHUN HUN
KHUT TOP
KHVN NYC
KHVR GTF
KIAD WBC
KIAG BUF
KIAH SAT
KICT TOP
KICX SLC
KILG PHL
KILM RDU
KILN CLE
KILX CHI
KIND IND
KINL MSP
KINW PHX
KINX OKC
KIOW DSM
KIPL SFO
KIPT PHL
KISN BIS
KIWA PHX
KIWX IND
KIXD TOP
KJAN JAN
KJAX MIA
KJCT LBB
KJEF STL
KJFK NYC
KJKL SDF
KKCI MKC
KKEY MIA
KKRF MKC
KLAF IND
KLAN ARB
KLAS RNO
KLAX LAX
KLBB LBB
KLBF OMA
KLBG LAX
KLCH NEW
KLEX SDF
KLGA NYC
KLGB LAX
KLIC DEN
KLIT LIT
KLIX NEW
KLKN RNO
KLMK SDF
KLMT PDX
KLND CYS
KLNK OMA
KLNX OMA
KLOT CHI
KLOX LAX
KLRX RNO
KLSE MKE
KLSX STL
KLTX RDU
KLUB LBB
KLUK CLE
KLVX SDF
KLWS BOI
KLWX WBC
KLYH WBC
KLZK LIT
KMAF LBB
KMAX PDX
KMBX BIS
KMCI STL
KMCN ATL
KMCO MIA
KMEG MEM
KMEI JAN
KMEM MEM
KMFD CLE
KMFL MIA
KMFR PDX
KMGM BHM
KMGW PIT
KMHK TOP
KMHS SFO
KMHX RDU
KMIA MIA
KMKC MKC
KMKE MKE
KMKG ARB
KMKR STL
KMKX MKE
KMLB MIA
KMLF SLC
KMLI CHI
KMLS GTF
KMMO CHI
KMOB BHM
KMOD SFO
KMPX MSP
KMQT ARB
KMRX MEM
KMRY SFO
KMSN MKE
KMSO GTF
KMSP MSP
KMSR MSP
KMSV ALB
KMSX GTF
KMSY NEW
KMTH MIA
KMTR SFO
KMTX SLC
KMUX SFO
KMVX BIS
KMWI NMC
KMXX BHM
KMYR RDU
KNBC CAE
KNBK PHL
KNCF NCF
KNEC AAA
KNES AAA
KNEW NEW
KNFD NFD
KNHC AAA
KNHK WBC
KNHZ PWM
KNMA MIA
KNMK PHL
KNMW PDX
KNQA MEM
KNRX MEM
KNXK LAX
KNYC NYC
KOAK SFO
KOAX OMA
KOFK OMA
KOHX MEM
KOJC TOP
KOKC OKC
KOKX NYC
KOLM SEA
KOMA OMA
KONT LAX
KORD CHI
KORF WBC
KORH BOS
KORK WBC
KORL MIA
KORN NEW
KOTH PDX
KOTX SEA
KOUN OKC
KOVN OMA
KPAH SDF
KPBI MIA
KPBS SEA
KPBZ PIT
KPDR PDX
KPDT PDX
KPDX PDX
KPGA PHX
KPHI PHL
KPHL PHL
KPHX PHX
KPIA CHI
KPIE MIA
KPIH BOI
KPIT PIT
KPKB CRW
KPMD LAX
KPNE PHL
KPNS BHM
KPPF TOP
KPQR PDX
KPSP LAX
KPSR PHX
KPTR PDX
KPUB DEN
KPUX DEN
KPVD BOS
KPWM PWM
KRAH RDU
KRAL LAX
KRAP FSD
KRAX RDU
KRBD FTW
KRBL SFO
KRDD SFO
KRDG PHL
KRDM PDX
KRDU RDU
KREV RNO
KRFD CHI
KRGX RNO
KRHA PIT
KRIC WBC
KRIV LAX
KRIW CYS
KRLX CRW
KRMG ATL
KRNK WBC
KRNO RNO
KROA WBC
KROC BUF
KROW ABQ
KRRD SFO
KRSA RNO
KRST MSP
KRTX RDU
KRYY ATL
KSAC SFO
KSAN LAX
KSAT SAT
KSAV CAE
KSBA LAX
KSBN IND
KSCK SFO
KSCS NMC
KSDB SFO
KSDF SDF
KSDM LAX
KSEA SEA
KSEP FTW
KSEW SEA
KSEZ PHX
KSFO SFO
KSFX BOI
KSGF STL
KSGX LAX
KSHD WBC
KSHR CYS
KSHV NEW
KSIL NEW
KSJC SFO
KSJT LBB
KSJU SJU
KSLC SLC
KSLE PDX
KSLN TOP
KSMF SFO
KSMP SEA
KSMX SFO
KSNA LAX
KSNS SFO
KSOX LAX
KSPI CHI
KSPS OKC
KSRX LIT
KSSM ARB
KSTC MSP
KSTJ STL
KSTL STL
KSTN JAN
KSTO SFO
KSTR SLC
KSUA MIA
KSUX DSM
KSWF NYC
KSXT PDX
KSYR ALB
KSYS FTW
KTAE MIA
KTAR BOS
KTBW MIA
KTCG AAA
KTCS ABQ
KTDW LBB
KTFX GTF
KTIR CRW
KTLH MIA
KTLR SFO
KTLX OKC
KTMB MIA
KTOI BHM
KTOL CLE
KTOP TOP
KTPA MIA
KTRI MEM
KTRM LAX
KTSA OKC
KTUA OKC
KTUL OKC
KTUP JAN
KTUR OKC
KTUS PHX
KTWC PHX
KTWF BOI
KTWX TOP
KTYS MEM
KTYX ALB
KUCR SFO
KUDX FSD
KUEX OMA
KUIL SEA
KUKI SFO
KUMN STL
KUNR FSD
KVBX LAX
KVCT SAT
KVEF RNO
KVQN WBC
KVTN OMA
KVTU LAX
KVTX LAX
KVUY ERH
KWAL WBC
KWBC AAA
KWBJ AAA
KWMC RNO
KWNC AAA
KWNH AAA
KWNJ AAA
KWNM AAA
KWNO AAA
KWNP SWX
KWNS AAA
KWSH WSH
KYKM SEA
KYNG CLE
KYUM PHX
KYUX PHX
NSTU HFO
PAAQ ANC
PABE ANC
PABR FAI
PACD ANC
PACR ACR
PACV ANC
PADQ ANC
PAER ANC
PAFA FAI
PAFC ANC
PAFG FAI
PAHO ANC
PAJK JNU
PAJN JNU
PAKN ANC
PALU ANC
