# tdwrElevations.txt
#
# Contains the elevation cuts for every TDWR radar for both Hazard and Monitor
# modes.  The columns are separated by tabs.  Some elevation cuts are repeated.
# This duplication will be handled by the scripting that processes this file.  
# 
# Please note that each comment line must begin with a # and each blank line 
# can begin with a # / or tab.  If the line begins with CR then it will be 
# treated as a null line and the script that processes this file, 
# readTdwrs.csh, will assume the end of file has been reached and will ignore 
# the rest of the file.
#
#ID	WFO ID	Mode	Sc1	Sc2	Sc3	Sc4	Sc5	Sc6	Sc7	Sc8	Sc9	Sc10	Sc11	Sc12	Sc13	Sc14	Sc15	Sc16	Sc17	Sc18	Sc19	Sc20	Sc21	Sc22	Sc23
DCA	LWX	MON	0.6	0.3	0.3	1.0	2.6	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
DEN	BOU	HAZ	0.6	0.3	0.3	1.0	2.5	5.2	0.3	8.0	10.8	13.9	0.3	18.2	24.0	2.5	0.3	5.2	8.0	10.8	0.3	13.9	18.2	24.0	0.3
DEN	BOU	MON	0.6	0.3	0.3	1.0	2.5	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
DFW	FWD	HAZ	0.6	0.4	0.4	1.0	1.8	3.8	0.4	5.7	7.7	10.7	0.4	14.7	20.1	1.8	0.4	3.8	5.7	7.7	0.4	10.7	14.7	20.1	0.4
DFW	FWD	MON	0.6	0.4	0.4	1.0	1.8	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
DTW	DTX	HAZ	0.6	0.1	0.1	1.0	2.1	4.4	0.1	6.7	10.0	13.7	0.1	18.9	26.1	2.1	0.1	4.4	6.7	10.0	0.1	13.7	18.9	26.1	0.1
DTW	DTX	MON	0.6	0.1	0.1	1.0	2.1	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
EWR	OKX	HAZ	0.6	0.3	0.3	1.0	2.7	5.6	0.3	8.4	12.9	17.8	0.3	24.6	34.6	2.7	0.3	5.6	8.4	12.9	0.3	17.8	24.6	34.6	0.3
EWR	OKX	MON	0.6	0.3	0.3	1.0	2.7	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
FLL	MFL	HAZ	0.6	0.3	0.3	1.0	1.9	4.0	0.3	6.1	8.3	11.3	0.3	15.1	20.1	1.9	0.3	4.0	6.1	8.3	0.3	11.3	15.1	20.1	0.3
FLL	MFL	MON	0.6	0.3	0.3	1.0	1.9	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
HOU	HGX	HAZ	0.6	0.2	0.2	1.0	2.6	5.3	0.2	8.0	11.9	15.8	0.2	21.1	28.4	2.6	0.2	5.3	8.0	11.9	0.2	15.8	21.1	28.4	0.2
HOU	HGX	MON	0.6	0.2	0.2	1.0	2.6	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
IAD	LWX	HAZ	0.6	0.3	0.3	1.0	2.1	4.4	0.3	6.7	10.3	14.1	0.3	19.4	26.9	2.1	0.3	4.4	6.7	10.3	0.3	14.1	19.4	26.9	0.3
IAD	LWX	MON	0.6	0.3	0.3	1.0	2.1	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
IAH	HGX	HAZ	0.6	0.1	0.1	1.0	1.6	3.3	0.1	5.1	7.8	10.7	0.1	14.6	20.1	1.6	0.1	3.3	5.1	7.8	0.1	10.7	14.6	20.1	0.1
IAH	HGX	MON	0.6	0.1	0.1	1.0	1.6	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
ICH	ICT	HAZ	0.6	0.2	0.2	1.0	2.4	4.9	0.2	7.4	11.1	14.8	0.2	19.8	26.7	2.4	0.2	4.9	7.4	11.1	0.2	14.8	19.8	26.7	0.2
ICH	ICT	MON	0.6	0.2	0.2	1.0	2.4	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
IDS	IND	HAZ	0.6	0.3	0.3	1.0	2.5	5.1	0.3	7.8	12.1	17.2	0.3	24.5	35.7	2.5	0.3	5.1	7.8	12.1	0.3	17.2	24.5	35.7	0.3
IDS	IND	MON	0.6	0.3	0.3	1.0	2.5	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
JFK	OKX	HAZ	0.6	0.5	0.5	1.0	2.8	5.7	0.5	8.7	11.6	17.7	0.5	27.3	44.0	2.8	0.5	5.7	8.7	11.6	0.5	17.7	27.3	44.0	0.5
JFK	OKX	MON	0.6	0.5	0.5	1.0	2.8	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
LAS	VEF	HAZ	0.6	0.8	0.8	1.0	3.4	6.9	0.8	10.4	13.9	17.6	0.8	22.8	29.8	3.4	0.8	6.9	10.4	13.9	0.8	17.6	22.8	29.8	0.8
LAS	VEF	MON	0.6	0.8	0.8	1.0	3.4	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
LVE	CLE	HAZ	0.6	0.2	0.2	1.0	2.1	4.3	0.2	6.6	9.7	12.8	0.2	17.0	22.6	2.1	0.2	4.3	6.6	9.7	0.2	12.8	17.0	22.6	0.2
LVE	CLE	MON	0.6	0.2	0.2	1.0	2.1	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
MCI	EAX	HAZ	0.6	0.3	0.3	1.0	1.8	3.7	0.3	5.6	8.4	11.2	0.3	15.0	20.1	1.8	0.3	3.7	5.6	8.4	0.3	11.2	15.0	20.1	0.3
MCI	EAX	MON	0.6	0.3	0.3	1.0	1.8	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
MCO	MLB	HAZ	0.6	0.3	0.3	1.0	3.3	6.6	0.3	10.0	13.4	16.8	0.3	29.9	60.0	3.3	0.3	6.6	10.0	13.4	0.3	16.8	29.9	60.0	0.3
MCO	MLB	MON	0.6	0.3	0.3	1.0	3.3	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
MDW	LOT	HAZ	0.6	0.3	0.3	1.0	2.6	5.3	0.3	8.1	10.9	13.8	0.3	17.8	23.3	2.6	0.3	5.3	8.1	10.9	0.3	13.8	17.8	23.3	0.3
MDW	LOT	MON	0.6	0.3	0.3	1.0	2.6	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
MEM	MEG	HAZ	0.6	0.3	0.3	1.0	2.3	4.7	0.3	7.2	10.9	14.7	0.3	19.8	27.0	2.3	0.3	4.7	7.2	10.9	0.3	14.7	19.8	27.0	0.3
MEM	MEG	MON	0.6	0.3	0.3	1.0	2.3	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
MIA	MFL	HAZ	0.6	0.2	0.2	1.0	1.9	3.9	0.2	5.9	8.8	11.8	0.2	15.8	21.2	1.9	0.2	3.9	5.9	8.8	0.2	11.8	15.8	21.2	0.2
MIA	MFL	MON	0.6	0.2	0.2	1.0	1.9	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
MKE	MKX	HAZ	0.6	0.3	0.3	1.0	2.0	4.3	0.3	6.5	8.8	12.1	0.3	16.0	21.3	2.0	0.3	4.3	6.5	8.8	0.3	12.1	16.0	21.3	0.3
MKE	MKX	MON	0.6	0.3	0.3	1.0	2.0	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
MSP	MPX	HAZ	0.6	0.3	0.3	1.0	1.7	3.7	0.3	5.6	8.4	11.3	0.3	15.0	20.1	1.7	0.3	3.7	5.6	8.4	0.3	11.3	15.0	20.1	0.3
MSP	MPX	MON	0.6	0.3	0.3	1.0	1.7	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
MSY	LIX	HAZ	0.6	0.3	0.3	1.0	2.7	5.5	0.3	8.3	11.1	16.4	0.3	24.7	38.3	2.7	0.3	5.5	8.3	11.1	0.3	16.4	24.7	38.3	0.3
MSY	LIX	MON	0.6	0.3	0.3	1.0	2.7	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
OKC	OUN	HAZ	0.6	0.5	0.5	1.0	2.5	5.1	0.5	7.7	11.3	15.3	0.5	20.7	28.2	2.5	0.5	5.1	7.7	11.3	0.5	15.3	20.7	28.2	0.5
OKC	OUN	MON	0.6	0.5	0.5	1.0	2.5	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
ORD	LOT	HAZ	0.6	0.3	0.3	1.0	1.9	3.9	0.3	5.9	8.7	11.5	0.3	15.2	20.1	1.9	0.3	3.9	5.9	8.7	0.3	11.5	15.2	20.1	0.3
ORD	LOT	MON	0.6	0.3	0.3	1.0	1.9	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
PBI	MFL	HAZ	0.6	0.1	0.1	1.0	2.1	4.5	0.1	6.8	9.1	12.7	0.1	17.4	23.8	2.1	0.1	4.5	6.8	9.1	0.1	12.7	17.4	23.8	0.1
PBI	MFL	MON	0.6	0.1	0.1	1.0	2.1	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
PHL	PHI	HAZ	0.6	0.4	0.4	1.0	2.0	4.3	0.4	6.5	8.7	12.7	0.4	18.3	26.8	2.0	0.4	4.3	6.5	8.7	0.4	12.7	18.3	26.8	0.4
PHL	PHI	MON	0.6	0.4	0.4	1.0	2.0	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
PHX	PSR	HAZ	0.6	0.6	0.6	1.0	3.7	7.4	0.6	11.2	15.0	19.3	0.6	25.7	34.7	3.7	0.6	7.4	11.2	15.0	0.6	19.3	25.7	34.7	0.6
PHX	PSR	MON	0.6	0.6	0.6	1.0	3.7	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
PIT	PBZ	HAZ	0.6	0.3	0.3	1.0	1.8	3.7	0.3	5.7	8.6	11.4	0.3	15.3	20.6	1.8	0.3	3.7	5.7	8.6	0.3	11.4	15.3	20.6	0.3
PIT	PBZ	MON	0.6	0.3	0.3	1.0	1.8	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
RDU	RAH	HAZ	0.6	0.3	0.3	1.0	2.3	4.8	0.3	7.2	10.9	14.8	0.3	20.3	27.9	2.3	0.3	4.8	7.2	10.9	0.3	14.8	20.3	27.9	0.3
RDU	RAH	MON	0.6	0.3	0.3	1.0	2.3	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
SDF	LMK	HAZ	0.6	0.3	0.3	1.0	2.0	4.3	0.3	6.6	9.8	13.0	0.3	17.4	23.3	2.0	0.3	4.3	6.6	9.8	0.3	13.0	17.4	23.3	0.3
SDF	LMK	MON	0.6	0.3	0.3	1.0	2.0	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
SJU	SJU	HAZ	0.6	0.3	0.3	1.0	2.0	4.2	0.3	6.4	8.6	11.7	0.3	15.6	20.9	2.0	0.3	4.2	6.4	8.6	0.3	11.7	15.6	20.9	0.3
SJU	SJU	MON	0.6	0.3	0.3	1.0	2.0	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
SLC	SLC	HAZ	0.6	0.5	0.5	1.0	2.4	5.0	0.5	7.6	10.2	12.8	0.5	16.3	20.7	2.4	0.5	5.0	7.6	10.2	0.5	12.8	16.3	20.7	0.5
SLC	SLC	MON	0.6	0.5	0.5	1.0	2.4	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
STL	LSX	HAZ	0.6	0.3	0.3	1.0	2.7	5.5	0.3	8.3	13.5	19.9	0.3	29.6	46.0	2.7	0.3	5.5	8.3	13.5	0.3	19.9	29.6	46.0	0.3
STL	LSX	MON	0.6	0.3	0.3	1.0	2.7	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
TPA	TBW	HAZ	0.6	0.3	0.3	1.0	2.7	5.5	0.3	8.3	13.1	18.9	0.3	27.6	41.5	2.7	0.3	5.5	8.3	13.1	0.3	18.9	27.6	41.5	0.3
TPA	TBW	MON	0.6	0.3	0.3	1.0	2.7	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
TUL	TSA	HAZ	0.6	0.3	0.3	1.0	2.4	4.9	0.3	7.5	11.4	15.2	0.3	20.4	27.7	2.4	0.3	4.9	7.5	11.4	0.3	15.2	20.4	27.7	0.3
TUL	TSA	MON	0.6	0.3	0.3	1.0	2.4	6.1	11.0	15.9	20.8	25.7	30.6	35.5	40.4	45.3	50.2	55.1	60.0						
