0	1	0	25	25	0	50	40	-31	-51
1	10	-19	34	4	2	49	44	-35	-56
2	15	-7	37	19	3	48	37	-24	-51
3	17	1	38	4	5	44	34	-30	-56
4	19	9	39	12	6	41	41	-26	-51
5	20	12	39	13	8	35	46	-24	-53
6	21	15	40	36	9	31	45	-31	-55
7	22	17	40	5	11	23	44	-34	-51
8	23	19	40	35	13	13	42	-30	-52
9	23	19	40	1	14	8	36	-28	-55
10	24	20	41	15	16	-1	44	-24	-59
11	24	20	41	29	17	-6	46	-34	-50
12	25	20	41	28	19	-16	36	-33	-53
13	25	20	41	28	20	-21	36	-35	-58
14	25	20	41	11	22	-29	41	-30	-56
15	26	19	41	11	24	-37	35	-27	-55
16	26	19	41	13	25	-40	41	-27	-51
17	26	19	41	14	27	-45	34	-32	-56
18	26	19	41	30	28	-47	34	-35	-59
19	27	18	42	11	30	-49	40	-32	-55
20	27	18	42	20	31	-50	37	-30	-58
21	27	18	42	1	30	-49	34	-31	-50
22	28	15	42	1	28	-47	33	-29	-53
23	28	15	42	36	27	-45	39	-24	-57
24	28	15	42	9	25	-40	35	-30	-57
25	28	15	42	39	24	-37	37	-28	-52
26	29	13	42	9	22	-29	37	-30	-58
27	29	13	42	17	20	-21	46	-23	-58
28	30	9	42	18	19	-16	35	-29	-51
29	30	9	42	34	17	-6	41	-29	-56
30	31	6	43	12	16	-1	44	-32	-54
31	31	6	43	28	14	8	44	-25	-60
32	32	2	43	1	13	13	37	-32	-54
33	33	-2	43	35	11	23	41	-32	-56
34	34	-6	44	12	9	31	43	-33	-60
35	35	-10	44	24	8	35	42	-36	-53
36	37	-16	44	3	6	41	42	-30	-55
37	39	-19	45	17	5	44	38	-36	-53
38	43	-17	46	32	3	48	39	-32	-54
39	49	3	47	21	2	49	41	-36	-51
