# This is the main file for model BUFR sounding ingest.  This will be clipped to the
# regional scale for most sites to produce the file modelBufrStationInfo.txt
#wmo          |stn  |lat      |lon       |elev |location                       |or|type
0000702730    |PANC | 61.170 |-150.020   |  40 |  ANCHORAGE_INTL_ARPT_(AS AK   |US|12
0000702740    |PAAQ | 61.600 |-149.080   |  71 |  PALMER_MUNICIPAL_(ASOS) AK   |US|10
0000702750    |PAVW | 61.130 |-146.350   |  10 |  VALDEZ (COASTAL POINT)  AK   |US|20
0000702820    |PAEG | 64.780 |-141.150   | 268 |  EAGLE, AK                    |US|10
0000702910    |PAOR | 62.970 |-141.930   | 525 |  NORTHWAY                AK   |US|10
0000702960    |PACV | 60.500 |-145.500   |  13 |  CORDOVA/MILE 13         AK   |US|10
0000703050    |PAEH | 58.650 |-162.070   | 165 |  CAPE_NEWENHAM(AWOS)     AK   |US|10
0000703080    |PASN | 57.150 |-170.220   |   9 |  SAINT_PAUL_ISLAND_(ASOS AK   |US|00
0000703160    |PACD | 55.200 |-162.730   |  31 |  COLD_BAY_AIRPORT_(ASOS) AK   |US|10
0000703210    |PADL | 59.050 |-158.520   |  29 |  DILLINGHAM_(AMOS)       AK   |US|10
0000703260    |PAKN | 58.680 |-156.650   |  15 |  KING_SALMON_(ASOS)      AK   |US|10
0000703400    |PAIL | 59.750 |-154.920   |  49 |  ILIAMNA_ARPT_(ASOS)     AK   |US|10
0000703410    |PAHO | 59.630 |-151.500   |  22 |  HOMER MUNICIPAL         AK   |US|10
0000703430    |PAMD | 59.430 |-146.330   |  14 |  MIDDLETON_ISL._AMOS     AK   |US|10
0000703500    |PADQ | 57.750 |-152.500   |  34 |  KODIAK_(ASOS)           AK   |US|10
0000703610    |PAYA | 59.520 |-139.670   |   9 |  YAKUTAT_(ASOS)          AK   |US|10
0000703620    |PAGY | 59.470 |-135.300   |   5 |  SKAGWAY_(ASOS)          AK   |US|10
0000703670    |PAGS | 58.420 |-135.730   |   9 |  GUSTAVUS                AK   |US|10
0000703710    |PASI | 57.070 |-135.350   |  20 |  SITKA/JAPONSKI_ARPT_(AS AK   |US|10
0000703810    |PAJN | 58.370 |-134.580   |   7 |  JUNEAU_INTL_AIRPORT     AK   |US|10
0000703860    |PAPG | 56.820 |-132.970   |   0 |  PETERSBURG              AK   |US|10
0000703870    |PAWG | 56.480 |-132.370   |  13 |  WRANGELL                AK   |US|10
0000703950    |PAKT | 55.350 |-131.700   |  29 |  KETCHIKAN INTL ARPT     AK   |US|10
0000703980    |PANT | 55.030 |-131.570   |  34 |  ANNETTE_ISLAND_(ASOS)   AK   |US|10
0000704140    |PASY | 52.720 | 174.120   |  30 |  SHEMYA_AFB              AK   |US|10
0000704540    |PADK | 51.880 |-176.650   |   4 |  ADAK_NAS/MITCHELL       AK   |US|00
0000704820    |PIKO | 52.950 |-168.850   |  21 |  NIKOLSKI_(AMOS)         AK   |US|00
0000704890    |PADU | 53.900 |-166.550   |   4 |  DUTCH HARBOR            AK   |US|10
0000710310    |CWZV | 51.930 |-131.020   |  92 |  CAPE_ST_JAMES           BC   |US|10
0000710430    |CYVQ | 65.280 |-126.750   |  95 |  NORMAN WELLS, NT             |US|12
0000710513    |CYSY | 72.000 |-125.280   |  86 |  SACHS_HARBOUR_ARPT      NT   |US|10
0000710680    |CYPE | 56.230 |-117.430   | 571 |  PEACE_RIVER_AIRPORT     AB   |US|11
0000710720    |CYMD | 76.230 |-119.330   |  12 |  MOULD_BAY_AIRPORT       NT   |US|10
0000710790    |CYTH | 55.750 | -97.870   | 206 |  THOMPSON ZOO, MB             |US|12
0000710810    |CYUX | 68.780 | -81.250   |   8 |  HALL_BEACH_AIRPORT      NT   |US|10
0000710820    |CWLT | 82.500 | -62.330   |  66 |  ALERT                   NT   |US|10
0000711080    |CYXX | 49.030 |-122.370   |  58 |  ABBOTSFORD_AIRPORT      BC   |US|10
0000711090    |CYZT | 50.680 |-127.370   |  22 |  PORT_HARDY_AIRPORT      BC   |US|10
0000711190    |CWSE | 53.550 |-114.100   | 766 |  EDMONTON/STONY_PLAI     AB   |US|12
0000711230    |CYEG | 53.300 |-113.580   | 723 |  EDMONTON_INTL_ARPT      AB   |US|10
0000711250    |CYLJ | 54.130 |-108.520   | 480 |  MEADOW_LAKE_AIRPORT     SA   |US|10
0000711300    |CYBU | 53.330 |-104.000   | 374 |  NIPAWIN_AIRPORT         SA   |US|10
0000711460    |CWLZ | 53.730 |-105.270   | 503 |  CANDLE LAKE, SK              |US|10
0000711510    |CWQG | 46.900 | -71.500   | 168 |  VALCARTIER              QB   |US|10
0000711970    |CWZB | 47.570 | -59.170   |  40 |  PORT-AUX-BASQUES        NF   |US|10
0000712030    |CWLW | 49.950 |-119.400   | 456 |  KELOWNA, BC                  |US|12
0000712220    |CWKX | 58.420 |-130.000   | 816 |  DEASE_LAKE_CS           BC   |US|10
0000712630    |CYHM | 43.170 | -79.930   | 777 |  HAMMILTON AIRPORT       ON   |US|12
0000713950    |CYHZ | 44.880 | -63.500   | 145 |  HALIFAX_INTL_ARPT_&     NS   |US|10
0000713990    |CWOS | 43.720 | -65.250   |  30 |  SHELBURNE, NS                |US|10
0000714963    |CYWO | 65.770 |-111.250   | 494 |  LUPIN_ARPT_(SAWR)       NT   |US|11
0000715100    |CWRJ | 51.570 |-107.920   | 586 |  ROSETOWN_EAST_(AUT)     SA   |US|10
0000715380    |CYQG | 42.270 | -82.970   | 190 |  WINDSOR_AIRPORT         ON   |US|10
0000716000    |CWSA | 43.930 | -60.020   |   4 |  SABLE_ISLAND______&     NS   |US|00
0000716010    |CYAW | 44.630 | -63.500   |  51 |  SHEARWATER(CAN-MIL)     NS   |US|10
0000716030    |CYQI | 43.870 | -66.100   |   9 |  YARMOUTH, NS                 |US|10
0000716230    |CYXU | 43.030 | -81.150   | 912 |  LONDON AIRPORT          ON   |US|12
0000716240    |CYYZ | 43.670 | -79.630   | 173 |  TORONTO/PEARSON         ON   |US|10
0000716250    |CYWA | 45.950 | -77.320   | 130 |  PETAWAWA_A,ONT          ON   |US|10
0000716270    |CYUL | 45.470 | -73.750   |  36 |  MONTREAL/DORVAL         QB   |US|10
0000716278    |CYMX | 45.680 | -74.030   |  82 |  MONTREAL/MIRABEL        QB   |US|10
0000716280    |CYOW | 45.320 | -75.670   | 114 |  OTTAWA_INTL_AIRPORT     ON   |US|10
0000716290    |CYPQ | 44.230 | -78.370   | 626 |  PETERBOROUGH AIRPORT    ON   |US|12
0000716300    |CYQA | 44.970 | -79.300   | 925 |  MUSKOKA AIRPORT         ON   |US|12
0000716330    |CYVV | 44.750 | -81.100   | 728 |  WIARTON AIRPORT         ON   |US|12
0000717010    |CYCX | 45.830 | -66.430   |  51 |  GAGETOWN__(CAN-MIL)     NB   |US|12
0000717070    |CYQY | 46.170 | -60.050   |  62 |  SYDNEY_AIRPORT          NS   |US|10
0000717220    |CWMW | 46.380 | -75.970   | 170 |  MANIWAKI                QB   |US|12
0000717250    |CYVO | 48.050 | -77.780   | 337 |  VAL D'OR, PQ                 |US|10
0000717310    |CYYB | 46.370 | -79.420   | 371 |  NORTH BAY, ON                |US|10
0000717380    |CYXZ | 47.970 | -84.780   | 287 |  WAWA_AIRPORT            ON   |US|10
0000717390    |CYTS | 48.570 | -81.370   | 295 |  TIMMINS_AIRPORT         ON   |US|10
0000717460    |CYLH | 52.230 | -87.880   | 242 |  LANSDOWNE HOUSE, ON          |US|10
0000717490    |CYQT | 48.370 | -89.320   | 199 |  THUNDER_BAY_AIRPORT     ON   |US|10
0000717990    |CYYJ | 48.650 |-123.430   |  19 |  VICTORIA_INTL_ARPT      BC   |US|10
0000718010    |CYYT | 47.620 | -52.730   | 140 |  SAINT_JOHN'S_ARPT       NF   |US|10
0000718030    |CYQX | 48.950 | -54.570   | 151 |  GANDER_INTL_AIRPORT     NF   |US|10
0000718110    |CYZV | 50.220 | -66.270   |  55 |  SEPT-ILES_AIRPORT       QB   |US|10
0000718150    |CYJT | 48.530 | -58.550   |  26 |  STEPHENVILLE_ARPT       NF   |US|10
0000718160    |CYYR | 53.320 | -60.420   |  49 |  GOOSE_BAY_AIRPORT       NF   |US|10
0000718220    |CYMT | 49.770 | -74.530   | 387 |  CHIBOUGAMAU-CHAPAIS     QB   |US|10
0000718230    |CYAH | 53.750 | -73.670   | 306 |  LA_GRANDE_IV_ARPT       QB   |US|10
0000718340    |CYGQ | 49.780 | -86.930   |1151 |  GERALDTON AIRPORT       ON   |US|12
0000718360    |CWZC | 51.270 | -80.650   |  10 |  MOOSONEE_(SAWR)___&     ON   |US|12
0000718365    |CYMO | 51.280 | -80.600   |  29 |  MOOSENEE AIRPROT        ON   |US|12
0000718454    |CYPL | 51.450 | -90.200   | 386 |  PICKLE_LAKE(MAN)        ON   |US|10
0000718480    |CYTL | 53.830 | -89.870   |9999 |  BIG TROUT LAKE          ON   |US|12
0000718500    |CYQK | 49.780 | -94.370   |1348 |  KENORA AIRPORT          ON   |US|12
0000718520    |CYWG | 49.900 | -97.230   | 239 |  WINNIPEG_INTL_ARPT      MN   |US|10
0000718530    |CWLO | 49.780 | -99.650   | 373 |  CAMP SHILO, MB               |US|10
0000718575    |CYFO | 54.680 |-101.680   | 304 |  FLIN_FLON_AIRPORT       MN   |US|10
0000718630    |CYQR | 50.430 |-104.670   | 577 |  REGINA_AIRPORT          SA   |US|10
0000718660    |CYXE | 52.170 |-106.680   | 504 |  SASKATOON_AIRPORT       SA   |US|10
0000718670    |CYQD | 53.970 |-101.100   | 271 |  THE_PAS_AIRPORT         MN   |US|12
0000718690    |CYPA | 53.220 |-105.680   | 428 |  PRINCE_ALBERT_ARPT      SA   |US|12
0000718720    |CYXH | 50.020 |-110.720   | 716 |  MEDICINE_HAT_ARPT       AB   |US|12
0000718770    |CYYC | 51.120 |-114.020   |1084 |  CALGARY_INTNL_ARPT      AB   |US|10
0000718800    |CYXC | 49.620 |-115.780   | 939 |  CRANBROOK, BC                |US|10
0000718840    |CYCG | 49.300 |-117.630   | 495 |  CASTLEGAR_AIRPORT       BC   |US|10
0000718920    |CYVR | 49.180 |-123.170   |   2 |  VANCOUVER_INTL_ARPT     BC   |US|10
0000718930    |CYQQ | 49.720 |-124.900   |  24 |  COMOX_(CAN-MIL)         BC   |US|10
0000718960    |CYXS | 53.880 |-122.680   | 691 |  PRINCE_GEORGE_ARPT      BC   |US|12
0000719060    |CYVP | 58.100 | -68.420   |  37 |  KUUJJUAQ_AIRPORT        QB   |US|10
0000719070    |CWPH | 58.450 | -78.120   | 253 |  INUKJUAK                QB   |US|10
0000719090    |CYFB | 63.750 | -68.530   |  34 |  FROBISHER/IQALUIT       NT   |US|10
0000719130    |CYYQ | 58.750 | -94.070   |  29 |  CHURCHILL_AIRPORT       MN   |US|10
0000719150    |CYZS | 64.200 | -83.370   |  64 |  CORAL_HARBOUR_ARPT      NT   |US|10
0000719170    |CWEU | 79.980 | -85.930   |  10 |  EUREKA                  NT   |US|10
0000719200    |CWFN | 57.350 |-107.130   | 495 |  CREE_LAKE_(MAPS)        SA   |US|11
0000719240    |CYRB | 74.720 | -94.950   |  40 |  RESOLUTE BAY, NT             |US|10
0000719250    |CYCB | 69.100 |-105.120   |  27 |  CAMBRIDGE_BAY_ARPT      NT   |US|10
0000719260    |CYBK | 64.300 | -96.000   |  49 |  BAKER LAKE, NT               |US|10
0000719310    |CWLB | 54.770 |-112.020   | 567 |  LAC_LA_BICHE_(MARS)     AB   |US|11
0000719340    |CYSM | 60.020 |-111.950   | 203 |  FORT_SMITH_AIRPORT      NT   |US|12
0000719360    |CYZF | 62.500 |-114.400   |9999 |  YELLOW KNIFE, NT             |US|12
0000719450    |CYYE | 58.830 |-122.580   | 382 |  FORT_NELSON_AIRPORT     BC   |US|12
0000719460    |CYFS | 61.800 |-121.200   |9999 |  FORT SIMPSON, NT             |US|12
0000719530    |CYQH | 60.120 |-128.820   | 690 |  WATSON_LAKE_AIRPORT     YK   |US|11
0000719570    |CYEV | 68.320 |-133.530   | 103 |  INUVIK, NT                   |US|12
0000719640    |CYXY | 60.720 |-135.070   | 703 |  WHITEHORSE_AIRPORT      YK   |US|12
0000719660    |CYDA | 64.050 |-139.130   | 369 |  DAWSON_AIRPORT          YK   |US|11
0000719665    |CYOC | 67.570 |-139.820   | 251 |  OLD_CROW_AIRPORT        YK   |US|10
0000722010    |KEYW | 24.550 | -81.750   |   6 |  KEY_WEST_INTL_ARPT      FL   |US|22
0000722020    |KMIA | 25.820 | -80.280   |   4 |  MIAMI_INTL_AIRPORT      FL   |US|10
0000722024    |KOPF | 25.900 | -80.280   |   3 |  MIAMI/OPA_LOCKA         FL   |US|10
0000722025    |KFLL | 26.070 | -80.150   |   7 |  FT_LAUDERDALE/HOLLY     FL   |US|10
0000722029    |KTMB | 25.650 | -80.430   |   3 |  MIAMI/KENDALL-TAMIA     FL   |US|10
0000722030    |KPBI | 26.680 | -80.120   |   6 |  WEST_PALM_BEACH         FL   |US|12
0000722039    |KFXE | 26.200 | -80.170   |   4 |  FORT_LAUDERDALE         FL   |US|10
0000722040    |KMLB | 28.100 | -80.650   |  11 |  MELBOURNE_REGIONAL      FL   |US|10
0000722045    |KVRB | 27.650 | -80.420   |   8 |  VERO_BEACH_MUNI         FL   |US|10
0000722050    |KMCO | 28.430 | -81.320   |  32 |  ORLANDO_JETPORT___&     FL   |US|10
0000722056    |KDAB | 29.180 | -81.050   |  11 |  DAYTONA_BEACH_RGNL      FL   |US|10
0000722060    |KJAX | 30.500 | -81.690   |   9 |  JACKSONVILLE_INTL       FL   |US|12
0000722070    |KSAV | 32.130 | -81.190   |  15 |  SAVANNAH_MUNICIPAL      GA   |US|10
0000722080    |KCHS | 32.900 | -80.030   |  15 |  CHARLESTOWN_MUNI        SC   |US|12
0000722100    |TBW  | 27.700 | -82.380   |  13 |  TAMPA, FL                    |US|12
0000722103    |KFPR | 27.500 | -80.370   |   7 |  FT_PIERCE/ST_LUCIE      FL   |US|10
0000722106    |KFMY | 26.580 | -81.870   |   5 |  FORT_MYERS/PAGE_FLD     FL   |US|10
0000722108    |KRSW | 26.530 | -81.750   |   9 |  FT_MYERS/SW_FLORIDA     FL   |US|10
0000722110    |KTPA | 27.970 | -82.530   |   3 |  TAMPA_INTL_AIRPORT      FL   |US|10
0000722115    |KSRQ | 27.400 | -82.550   |   9 |  SARASOTA-BRADENTON      FL   |US|10
0000722116    |KPIE | 27.920 | -82.680   |   3 |  SAINT_PETERSBURG        FL   |US|10
0000722120    |CTY  | 29.620 | -83.100   |  12 |  CROSS_CITY_ARPT_(ASOS)  FL   |US|10
0000722130    |KAYS | 31.250 | -82.400   |  46 |  WAYCROSS/WARE_CO.       GA   |US|12
0000722136    |KBQK | 31.250 | -81.470   |   8 |  BRUNSWICK/GLYNCO        GA   |US|10
0000722137    |KSSI | 31.150 | -81.370   |   6 |  BRUNSWICK/MALCOLM       GA   |US|10
0000722140    |KTLH | 30.380 | -84.370   |  21 |  TALLAHASSEE_RGNL        FL   |US|12
0000722146    |KGNV | 29.680 | -82.270   |  46 |  GAINESVILLE_RGNL        FL   |US|10
0000722150    |FFC  | 33.360 | -84.570   | 246 |  PEACHTREE CITY/FALCON, GA    |US|12
0000722160    |KABY | 31.530 | -84.180   |  59 |  ALBANY_MUNICIPAL        GA   |US|10
0000722166    |KVLD | 30.780 | -83.280   |  62 |  VALDOSTA_REGIONAL       GA   |US|10
0000722170    |KMCN | 32.700 | -83.650   | 110 |  MACON/LEWIS_WILSON      GA   |US|10
0000722180    |KAGS | 33.370 | -81.970   |  45 |  AUGUSTA/BUSH_FIELD      GA   |US|10
0000722190    |KATL | 33.650 | -84.420   | 315 |  ATLANTA_INTL_ARPT       GA   |US|10
0000722195    |KFTY | 33.780 | -84.520   | 256 |  ATLANTA/FULTON_CO.      GA   |US|10
0000722196    |KPDK | 33.880 | -84.300   | 305 |  ATLANTA/DEKALB          GA   |US|10
0000722200    |AQQ  | 29.730 | -84.980   |   7 |  APALACHICOLA, FL             |US|10
0000722210    |VPS  | 30.560 | -85.920   |  68 |  EGLIN AFB, FL                |US|12
0000722223    |KPNS | 30.470 | -87.180   |  37 |  PENSACOLA_REGIONAL&     FL   |US|10
0000722230    |KMOB | 30.680 | -88.250   |  67 |  MOBILE/BATES_FIELD      AL   |US|10
0000722245    |KPFN | 30.220 | -85.680   |   6 |  PANAMA_CITY/BAY_CO.     FL   |US|10
0000722250    |LSF  | 32.330 | -84.830   | 130 |  FORT BENNING, GA             |US|10
0000722255    |KCSG | 32.520 | -84.930   | 121 |  COLUMBUS_METRO_ARPT     GA   |US|10
0000722260    |KMGM | 32.300 | -86.400   |  62 |  MONTGOMERY/DANNELLY     AL   |US|10
0000722268    |KDHN | 31.320 | -85.450   | 122 |  DOTHAN_MUNICIPAL        AL   |US|10
0000722280    |KBHM | 33.570 | -86.750   | 192 |  BIRMINGHAM_MUNI         AL   |US|10
0000722286    |KTCL | 33.220 | -87.620   |  52 |  TUSCALOOSA_MUNI         AL   |US|10
0000722287    |KANB | 33.580 | -85.850   | 186 |  ANNISTON/CALHOUN_CO     AL   |US|10
0000722290    |KCKL | 32.900 | -87.250   | 140 |  CENTREVILLE/BIBB_CO     AL   |US|10
0000722300    |BMX  | 33.170 | -86.770   | 178 |  SHELBY COUNTY ARPT, AL       |US|12
0000722310    |KMSY | 29.980 | -90.250   |   9 |  NEW_ORLEANS/MOISANT     LA   |US|10
0000722315    |KNEW | 30.050 | -90.030   |   3 |  NEW_ORLEANS/LAKEFRO     LA   |US|10
0000722317    |KBTR | 30.530 | -91.150   |  21 |  BATON_ROUGE/RYAN        LA   |US|10
0000722330    |6RO  | 30.330 | -89.820   |   8 |  SLIDELL, LA                  |US|12
0000722340    |KMEI | 32.330 | -88.750   |  94 |  MERIDIAN/KEY_FIELD      MS   |US|10
0000722348    |KPIB | 31.470 | -89.330   |  91 |  PINE_BELT_RGNL_AWOS     MS   |US|10
0000722350    |KJAN | 32.320 | -90.080   | 101 |  JACKSON/THOMPSON        MS   |US|12
0000722356    |KGLH | 33.480 | -90.980   |  40 |  GREENVILLE_MUNI         MS   |US|10
0000722358    |KMCB | 31.180 | -90.470   | 126 |  MCCOMB/LEWIS_FIELD      MS   |US|10
0000722359    |KGWO | 33.500 | -90.080   |  47 |  GREENWOOD/LEFLORE       MS   |US|10
0000722400    |KLCH | 30.120 | -93.220   |  10 |  LAKE_CHARLES_MUNI       LA   |US|12
0000722405    |KLFT | 30.200 | -91.980   |  13 |  LAFAYETTE_REGIONAL      LA   |US|10
0000722410    |KBPT | 29.950 | -94.020   |   7 |  BEAUMONT/PORT_ARTHU     TX   |US|10
0000722420    |KGLS | 29.300 | -94.800   |  16 |  GALVESTON/SCHOLES_&     TX   |US|10
0000722430    |KIAH | 29.970 | -95.350   |  33 |  HOUSTON/INTERCONTIN     TX   |US|12
0000722435    |KHOU | 29.650 | -95.280   |  14 |  HOUSTON/WILL_HOBBY      TX   |US|10
0000722445    |KCLL | 30.580 | -96.370   |  98 |  COLLEGE_STATION         TX   |US|10
0000722446    |KLFK | 31.230 | -94.750   |  88 |  LUFKIN/ANGELINA_CO.     TX   |US|10
0000722448    |KTYR | 32.340 | -95.400   | 166 |  TYLER/POUNDS_FLD        TX   |US|10
0000722470    |KGGG | 32.340 | -94.650   | 124 |  LONGVIEW/GREGG_CO.&     TX   |US|12
0000722480    |KSHV | 32.470 | -93.820   |  79 |  SHREVEPORT_REGIONAL     LA   |US|12
0000722486    |KMLU | 32.520 | -92.030   |  24 |  MONROE_REGIONAL         LA   |US|10
0000722487    |KESF | 31.400 | -92.300   |  34 |  ALEXANDRIA/ESLER        LA   |US|10
0000722490    |FWD  | 32.800 | -97.300   | 196 |  FORT WORTH, TX               |US|12
0000722500    |KBRO | 25.900 | -97.430   |   6 |  BROWNSVILLE_INTL        TX   |US|12
0000722505    |KHRL | 26.230 | -97.650   |  11 |  HARLINGEN_INTL_ARPT     TX   |US|10
0000722506    |KMFE | 26.180 | -98.230   |  33 |  MCALLEN/MILLER_INTL     TX   |US|10
0000722510    |KCRP | 27.770 | -97.500   |  13 |  CORPUS_CHRISTI_INTL     TX   |US|12
0000722517    |KALI | 27.730 | -98.030   |  54 |  ALICE_INTL_AIRPORT      TX   |US|10
0000722520    |KLRD | 27.550 | -99.470   | 155 |  LAREDO_INTL_AIRPORT     TX   |US|10
0000722530    |KSAT | 29.530 | -98.470   | 242 |  SAN_ANTONIO_INTL        TX   |US|10
0000722540    |KAUS | 30.300 | -97.700   | 189 |  AUSTIN/MUELLER_MUNI     TX   |US|10
0000722550    |KVCT | 28.850 | -96.920   |  36 |  VICTORIA_REGIONAL       TX   |US|12
0000722560    |KACT | 31.620 | -97.220   | 155 |  WACO-MADISON_COOPER     TX   |US|10
